資産区分,資産区分名,拠点CD,拠点名,品目区分,品目区分名,品目CD,品目名,在庫場所CD,在庫場所名,ロケーション,在庫状態区分名,ロット番号,工順,手配内容名,前月末在庫数,在庫単位名,当月入庫数,当月出庫数,現在在庫数,評価単価,現在在庫金額,規格,型式,受注製品名,備考,サイズ１,サイズ２,サイズ３,品種CD,品種名,品目分類CDＡ,品目分類CDＡ名,原価計算しない区分,品目分類CDＢ名,発注フラグ,品目分類CDＣ名,品種大分類CD,品種大分類名,品種中分類CD,品種中分類名,品種小分類CD,品種小分類名,在庫予備項目１,在庫予備項目２,在庫予備項目３,入庫数内訳１,入庫数内訳２,入庫数内訳３,入庫数内訳４,入庫数内訳５,入庫数内訳６,入庫数内訳７,入庫数内訳８,入庫数内訳９,入庫数内訳１０,出庫数内訳１,出庫数内訳２,出庫数内訳３,出庫数内訳４,出庫数内訳５,出庫数内訳６,出庫数内訳７,出庫数内訳８,出庫数内訳９,出庫数内訳１０
1,自社資産,1,南濃工場,1,製品,BRU        6818     DB  0,BRU        6818     DB                  ,Z001,南濃倉庫,,通常,,999,セット組み,0,,1,1,0,118100,0,BRU        6818     DB  0,BRU,BRT TVﾎﾞｰﾄﾞ180,,0,0,0,2,仕入商品,,,1,原価計算しない,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,BRU        6818     GY  0,BRU        6818     GY                  ,Z001,南濃倉庫,,通常,,999,セット組み,0,,6,6,0,118100,0,BRU        6818     GY  0,BRU,BRT TVﾎﾞｰﾄﾞ180,,0,0,0,2,仕入商品,,,1,原価計算しない,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,BRZ        7095     BW  0,BRZ        7095     BW                  ,Z001,南濃倉庫,,通常,,999,セット組み,0,,3,3,0,42698,0,BRZ        7095     BW  0,BRZ,ｻｲﾄﾞｼｪﾙﾌ,,0,0,0,2,仕入商品,,,1,原価計算しない,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,CE22       10012,CE22       5        W39 A011            ,Z001,南濃倉庫,,通常,,999,検査梱包,0,,14,14,0,31100,0,CE22       5        W39 1,CE22        布,ｺｸﾖ  ﾘｱｸﾄ,,0,0,0,0,製造品,,,1,原価計算しない,,,,,,,,,,,,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,CE22       10013,CE22       3        W39 A011            ,Z001,南濃倉庫,,通常,,999,検査梱包,0,,1,1,0,59700,0,CE22       3        W39 1,CE22        布,ｺｸﾖ  ﾘｱｸﾄ,,0,0,0,0,製造品,,,1,原価計算しない,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,CE22       10139,CE22       5        W35 A011            ,Z001,南濃倉庫,,通常,,999,検査梱包,0,,6,6,0,31100,0,CE22       5        W35 1,CE22        布,ｺｸﾖ ﾘｱｸﾄ,,0,0,0,0,製造品,,,1,原価計算しない,,,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,CE22       10279,CE22       3        W35 B022            ,Z001,南濃倉庫,,通常,,999,検査梱包,0,,1,1,0,48900,0,CE22       3        W35 1,CE22        布,ｺｸﾖ ﾘｱｸﾄ,,0,0,0,0,製造品,,,1,原価計算しない,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,CE22       10281,CE22       5        W35 B022            ,Z001,南濃倉庫,,通常,,999,検査梱包,0,,2,2,0,29300,0,CE22       5        W35 1,CE22        布,ｺｸﾖ ﾘｱｸﾄ,,0,0,0,0,製造品,,,1,原価計算しない,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,CE22       10309,CE22       3        W39 J111            ,Z001,南濃倉庫,,通常,,999,検査梱包,0,,1,1,0,37100,0,CE22       3        W39 1,CE22        布,ｺｸﾖ ﾘｱｸﾄ,,0,0,0,0,製造品,,,1,原価計算しない,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,自社資産,1,南濃工場,1,製品,CE22       10310,CE22       5        W39 J111            ,Z001,南濃倉庫,,通常,,999,検査梱包,0,,2,2,0,22700,0,CE22       5        W39 1,CE22        布,ｺｸﾖ ﾘｱｸﾄ,,0,0,0,0,製造品,,,1,原価計算しない,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
